更新时间,#genre#
2025-01-23 06:50:51,url
央视频道,#genre#
CCTV1,http://116.128.242.83:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源
CCTV1,http://139.196.151.191:2051/rtp/239.45.3.145:5140$组播源
CCTV1,http://123.56.129.203:1251/rtp/225.1.8.1:8008$北京电信组播源
CCTV1,http://123.56.129.203:1251/rtp/225.1.8.101:8080$北京电信组播源
CCTV1,http://139.196.151.191:5630/rtp/239.45.3.145:5140$上海电信组播源
CCTV1,http://123.56.129.203:8025/rtp/225.1.8.1:8008$北京电信组播源
CCTV1,http://123.56.129.203:8025/rtp/225.1.8.101:8080$北京电信组播源
CCTV1,http://123.56.129.203:5431/rtp/225.1.8.101:8080$组播源
CCTV1,http://123.56.129.203:5431/rtp/225.1.8.1:8008$组播源
CCTV1,http://123.56.129.203:7637/rtp/225.1.8.1:8008$组播源
CCTV1,http://122.9.151.210:6209/rtp/238.255.2.91:5999$组播源
CCTV1,https://api.olelive.com/dis/live/CCTV1HD/hls.m3u8$订阅源|1920x1080
CCTV1,http://z.b.bkpcp.top/m.php?id=cctv1$订阅源|1920x1080
CCTV1,http://106.53.99.30/dl/bjyd.php?id=1$订阅源|1920x1080
CCTV1,http://202.100.46.58:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV1,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/6000000001000029752/1.m3u8?channel-id=wasusyt&Contentid=6000000001000029752&livemode=1&stbId=3$订阅源
CCTV1,http://61.138.128.226:19901/tsfile/live/0001_1.m3u8$订阅源
CCTV1,http://123.182.60.29:9002/hls/1/index.m3u8$订阅源
CCTV1,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265001&livemode=1&stbId=3$订阅源
CCTV1,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1000000005000265001/index.m3u8?channel-id=ystenlive&Contentid=1000000005000265001&livemode=1&stbId=no$订阅源
CCTV1,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1000000005000265002/index.m3u8?channel-id=ystenlive&Contentid=1000000005000265001&livemode=1&stbId=no$订阅源
CCTV2,http://116.128.242.83:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源
CCTV2,http://139.196.151.191:2051/rtp/239.45.1.109:5140$组播源
CCTV2,http://123.56.129.203:1251/rtp/225.1.8.2:8084$北京电信组播源
CCTV2,http://123.56.129.203:1251/rtp/225.1.8.102:8004$北京电信组播源
CCTV2,http://139.196.151.191:5630/rtp/239.45.1.109:5140$上海电信组播源
CCTV2,http://123.56.129.203:8025/rtp/225.1.8.2:8084$北京电信组播源
CCTV2,http://123.56.129.203:8025/rtp/225.1.8.102:8004$北京电信组播源
CCTV2,http://123.56.129.203:5431/rtp/225.1.8.2:8084$组播源
CCTV2,http://123.56.129.203:5431/rtp/225.1.8.102:8004$组播源
CCTV2,http://123.56.129.203:7637/rtp/225.1.8.102:8004$组播源
CCTV2,http://122.9.151.210:6209/rtp/238.255.2.11:5999$组播源
CCTV2,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1.m3u8?channel-id=ystenlive&Contentid=1000000001000023315&livemode=1&stbId=3$订阅源
CCTV2,http://61.138.128.226:19901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV2,http://123.138.22.30:9901/tsfile/live/0002_1.m3u8$订阅源
CCTV2,http://gslbserv.itv.cmvideo.cn/1000000005000265002/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265002&livemode=1&stbId=3$订阅源
CCTV2,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1000000001000023315/1.m3u8?channelid=ystenlive&Contentid=1000000001000023315&livemode=1&stbId=3$订阅源
CCTV2,http://123.182.60.29:9002/hls/2/index.m3u8$订阅源
CCTV2,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1000000001000023315/index.m3u8?channel-id=ystenlive&Contentid=1000000001000023315&livemode=1&stbId=no$订阅源
CCTV2,http://202.100.46.58:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV2,http://121.33.239.242:9901/tsfile/live/0002_1.m3u8$订阅源
